No ,Sunda,Indonesia
1187,Nuju,Sedang
1188,Runtah,Sampah
1189,Udur,Sedang sakit
1190,Tunggara,Sedih
1191,Sendal,Sandal
1192,Walagri,Sehat
1193,Sendal Capit,Sandal Jepit
1194,Ayeuna,Sekarang
1195,Palangkakan,Selangkangan
1196,Solokan,Selokan
1197,Soweh,Sobek
1198,sowek,Sobek
1199,Sarupaning,Semacam
1200,Sonten,Sore
1201,Sumanget,Semangat
1202,Caroge,Suami
1203,Salaki,Suami
1204,Salapan,Sembilan
1205,Parantos,Sudah
1206,Atos,Sudah
1207,Heureut,Sempit
1208,Tos lami linggih di dieu,Sudah Lama Tinggal Di sini
1209,Sadaya,Semua
1210,Kabeh,Semua
1211,Sireum,Semut
1212,Tos tuang teu acan,Sudah makan belom
1213,Bungah,Senang
1214,Susulan,Sungai
1215,Sapatu,Sepatu
1216,Sesah,Susah
1217,Hese,Susah
1218,Sepuluh,Sepuluh
1219,Peura,Serak
1220,Saratu,Seratus
1221,Saratus Rebu,Seratus Ribu
1222,Serebu,Seribu
1223,Beurang,Siang
1224,Saha,Siapa
1225,Mangga,Silahkan
1226,Laat,Telat
1227,Rerencangan,Teman
1228,Manggih,Temu
1229,Pendak,Temu
1230,Perkawis,Tentang
1231,Tepas,Teras
1232,Tadi,Tadi
1233,Nyongcolang,Terbaik
1234,Karang,Tahi Lalat
1235,Kagoda,Tergoda
1236,Sieun,Takut
1237,Kasuat-suat,Teringat-ingat
1238,Cabok,Tampar
1239,Gampleng,Tampar
1240,Kerekeb,Terkam
1241,Gabrug,Terkam
1242,Taneuh,Tanah
1243,Kebentar Gelap,Terkena Petir
1244,Tegalan,Tanah Lapang
1245,Kaasup,Termasuk
1246,Kalebet,Termasuk
1247,Menandakan,Tanda
1248,Tanda,Tanda
1249,Kasetrum,Tersengat Listrik
1250,Suri,Tersenyum
1251,Imut,Tersenyum
1252,Leungeun,Tangan
1253,Panangan,Tangan
1254,Taraje,Tangga Bambu
1255,Nyiru,Tapian
1256,Tihang,Tiang
1257,Nyaho,Tau
1258,Uninga,Tau
1259,Terang,Tau
1260,Henteu,Tidak
1261,Moal,Tidak Akan
1262,Moal,Tidak Mau
1263,Alim,Tidak Mau
1264,Teuing,Tidak Tau
1265,Teu Terang,Tidak Tau
1266,Duka,Tidak Tau
1267,Sare,Tidur
1268,Bobo,Tidur
1269,Kulem,Tidur
1270,Tilu,Tiga
1271,Beurit,Tikus
1272,Linggih,Tinggal dimana
1273,Linggih,Tinggalnya
1274,Tere,Tiri
1275,Bantos,Tolong
1276,Tulung,Tolog
1277,Kerepus,Topi
1278,Topi,Topi
1279,Sepuh,Tua
1280,Kolot,Tua
1281,Tujuh,Tujuh
1282,Tojos,Tusuk
1283,Linggih,Tinggalnya
1284,Tere,Tiri
1285,Bantos,Tolong
1286,Tulung,Tolog
1287,Kerepus,Topi
1288,Topi,Topi
1289,Sepuh,Tua
1290,Kolot,Tua
1291,Tujuh,Tujuh
1292,Tojos,Tusuk
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
